AccSpeciesID,TraitID,OrigValueStr,ValueKindName,StdValue
57,3106.0,52.86870588235294,Single,44.894352941176464
1285,14.0,1.0700740955021877,Species mean,10.700740955021878
1285,15.0,879.9584602754941,Species mean,1.2346933999124354
1285,40.0,49.062561191776226,Single,0.049062561191776224
1285,46.0,237.74514285714284,Single,0.554
1285,47.0,0.5256000000000001,Single,0.5256000000000001
1285,48.0,513.44063311,Single,0.51344063311
1285,50.0,2.5601054593384998,Single,2.5601054593384998
1285,51.0,0.33242491978245603,Single,0.33242491978245603
1285,53.0,14.017580885595633,Single,14.017580885595633
1285,55.0,74.48970449901094,Single,74.48970449901094
1285,56.0,9.418786188583862,Species mean,9.418786188583862
1285,58.0,0.00179512113365053,Single,0.00179512113365053
1285,572.0,413.09523809523796,Single,
1285,3106.0,4.2935,Single,2.9031000000000002
1285,3109.0,0.06,Single,6.0
1285,3112.0,0.0624855868185514,Site specific mean,6.24855868185514
1285,3113.0,2.6388285289395172,Site specific mean,263.8828528939517
1285,3115.0,35.7295,Single,3.57295
1285,3116.0,35.4813389233575,Single,3.54813389233575
1285,3117.0,105.40575545944489,Single,4.551648354239187
1285,3479.0,1.2334142857142858,,
1286,3106.0,5.4,Single,5.4
1286,3117.0,114.3,Single,11.43
4508,14.0,0.797677225,Species mean,7.97677225
4508,15.0,500.05,Species mean,1.0
4508,40.0,20.8065036,Single,0.0208065036
4508,46.0,132.132,Single,0.264
4508,50.0,2.52197635,Single,2.52197635
4508,53.0,6.5975,Single,6.5975
4508,56.0,8.0,Species mean,8.0
4508,3106.0,2.0,Single,2.0
4508,3117.0,36.4144878544888,Single,3.6414487854488797
4520,14.0,0.9,Single,9.0
4520,15.0,0.14,Single,1.4
4520,40.0,51.08,Single,0.05108
4520,50.0,2.5,Single,2.5
4520,51.0,0.38888,Single,0.38888
4520,53.0,14.1,Single,14.1
4520,3106.0,17.442933333333333,Single,2.9684000000000004
4520,3117.0,116.608934817926,Single,3.6016342225333333
5175,14.0,1.80375,Species mean,18.0375
5175,15.0,1125.1125,Species mean,2.25
5175,47.0,0.42225,Single,0.42225
5175,50.0,1.687612208,Single,1.687612208
5175,55.0,2.36293448677866,Single,2.36293448677866
5175,56.0,8.35555555577778,Species mean,8.35555555577778
5175,3106.0,1.4033333333333333,Single,1.4033333333333333
5175,3109.0,0.24,Single,24.0
5175,3112.0,0.245091705388047,Site specific mean,24.5091705388047
5175,3113.0,0.24654585269402352,Site specific mean,24.65458526940235
5175,3115.0,73.2972,Single,7.32972
5175,3117.0,123.33762042751948,Single,12.52725457200928
5219,3106.0,2.0,Single,0.6096
5251,14.0,1.4413569333333334,Single,14.413569333333333
5251,15.0,645.75837010865,Single,2.57878954765865
5251,40.0,41.18683818220386,Single,0.04118683818220385
5251,47.0,0.331585354161124,Mean,0.331585354161124
5251,50.0,2.4330660289565933,Single,2.4330660289565933
5251,51.0,0.43359434951456316,Single,0.43359434951456316
5251,53.0,5.835722515533945,Single,5.835722515533945
5251,55.0,0.08844239447332963,Single,11.327192394119106
5251,56.0,5.5412001172596,Single,5.5412001172596
5251,978.0,24.724916031945714,Single,24.724916031945714
5251,3106.0,30.35078181818182,Single,1.0014318181818183
5251,3109.0,0.8585253731343284,Single,85.85253731343283
5251,3112.0,0.295925,Site specific mean,29.5925
5251,3113.0,0.23456666666666667,Site specific mean,23.456666666666667
5251,3115.0,106.56861746222222,Single,9.744029375614488
5251,3116.0,58.8843655355589,Single,5.88843655355589
5251,3117.0,55.01797969634338,Single,10.555788267784253
11291,3106.0,4.2192,Single,2.1336
11292,14.0,1.3040157840000002,Species mean,13.040157840000001
11292,15.0,666.6999999999999,Species mean,1.0
11292,40.0,33.52064,Single,0.03352064
11292,50.0,6.17127556,Single,6.17127556
11292,53.0,17.16666668333335,Single,17.16666668333335
11292,56.0,13.699999999999998,Species mean,13.699999999999998
11292,3106.0,3.7039999999999997,Single,3.7039999999999997
11292,3117.0,20.643048986262727,Single,2.0643048986262724
11292,3479.0,0.81116,,
11293,14.0,1.5554723393020564,Single,15.554723393020565
11293,15.0,363.89305520915974,Species mean,1.1599107078804283
11293,40.0,100.34618426445999,Single,0.10034618426446
11293,46.0,164.64659999999998,Single,0.41100000000000003
11293,47.0,0.47075,Single,0.47075
11293,48.0,349.62856520867723,Single,0.5148071366372488
11293,50.0,3.527869314942154,Single,3.527869314942154
11293,51.0,0.247911699568793,Single,0.247911699568793
11293,53.0,22.838505982560633,Single,22.838505982560633
11293,55.0,29.193592640523498,Single,29.193592640523498
